"sex","id","pgm"
"M","AFC_14_20_D06",1
"F","AFC_14_20_D07",1
"M","AFC_14_20_D08",1
"F","AFC_14_20_D09",1
"M","AFC_14_20_D10",1
"M","AFC_14_20_D11",1
"F","AFC_14_20_D12",1
"M","AFC_14_20_E01",1
"M","AFC_14_20_E02",1
"F","AFC_14_20_E03",1
"F","AFC_14_20_E04",1
"F","AFC_14_20_E05",1
"F","AFC_14_20_E06",1
"M","AFC_14_20_E07",1
"M","AFC_14_20_E08",1
"M","AFC_14_20_E09",1
"F","AFC_14_20_E10",1
"M","AFC_14_20_E11",1
"M","AFC_14_20_E12",1
"F","AFC_14_20_F01",1
"F","AFC_14_20_F02",1
"M","AFC_14_20_F03",1
"F","AFC_14_20_F04",1
"F","AFC_14_20_F05",1
"M","AFC_14_20_F06",1
"F","AFC_14_20_F07",1
"M","AFC_14_20_F08",1
"F","AFC_14_20_F09",1
"M","AFC_14_20_F10",1
"F","AFC_14_20_F11",1
"M","AFC_14_20_F12",1
"M","AFC_14_20_G01",1
"M","AFC_14_20_G02",1
"F","AFC_14_20_G03",1
"M","AFC_14_20_G04",1
"M","AFC_14_20_G05",1
"M","AFC_14_20_G06",1
"F","AFC_14_20_G07",1
"M","AFC_14_20_G08",1
"F","AFC_14_20_G09",1
"M","AFC_14_20_G10",1
"F","AFC_14_20_G11",1
"M","AFC_14_20_G12",1
"M","AFC_14_20_H01",1
"M","AFC_14_20_H02",1
"F","AFC_14_20_H03",1
"F","AFC_14_20_H04",1
"M","AFC_14_20_H05",1
"M","AFC_14_20_H06",1
"F","AFC_14_20_H07",1
"M","AFC_14_20_H08",1
"F","AFC_14_20_H09",1
"M","AFC_14_20_H10",1
"M","AFC_14_20_H11",1
"M","AFC_14_20_H12",1
