"Indiv","mean_hom","sex"
"AFC_14_20_H12",1,"M"
"AFC_19_15_A06",0.0756302521008403,"F"
"AFC_19_15_A08",0.0593220338983051,"F"
"AFC_19_15_B01",0.0583333333333333,"F"
"AFC_19_15_B02",0.0789473684210526,"F"
"AFC_19_15_B03",1,"M"
"AFC_19_15_B04",1,"M"
"AFC_19_15_B05",0.1,"F"
"AFC_19_15_B06",0.05,"F"
"AFC_19_15_B07",0.0593220338983051,"F"
"AFC_19_15_B08",1,"M"
"AFC_19_15_B09",0.076271186440678,"F"
"AFC_19_15_B10",1,"M"
"AFC_19_15_B11",0.0916666666666667,"F"
"AFC_19_15_B12",0.075,"F"
"AFC_19_15_C01",0.0583333333333333,"F"
"AFC_19_15_C02",0.0508474576271186,"F"
"AFC_19_15_C03",1,"M"
"AFC_19_15_C04",1,"M"
"AFC_19_15_C05",0.0666666666666667,"F"
"AFC_19_15_C06",1,"M"
"AFC_19_15_C07",0.109243697478992,"F"
"AFC_19_15_C08",0.0598290598290598,"F"
"AFC_19_15_C09",0.0521739130434783,"F"
"AFC_19_15_C10",1,"M"
"AFC_19_15_C11",1,"M"
"AFC_19_15_C12",0.0336134453781513,"F"
"AFC_19_15_D01",1,"M"
"AFC_19_15_D02",0.094017094017094,"F"
"AFC_19_15_D03",1,"M"
"AFC_19_15_D04",0.0991735537190083,"F"
"AFC_19_15_D05",0.0583333333333333,"F"
"AFC_19_15_D06",0.0593220338983051,"F"
"AFC_19_15_D07",1,"M"
"AFC_19_15_D08",0.075,"F"
"AFC_19_15_D09",1,"M"
"AFC_19_15_D10",1,"M"
"AFC_19_15_D11",1,"M"
"AFC_19_15_D12",0.0819672131147541,"F"
"AFC_19_15_E01",1,"M"
"AFC_19_15_E02",0.0672268907563025,"F"
"AFC_19_15_E03",0.0588235294117647,"F"
"AFC_19_15_E04",0.0847457627118644,"F"
"AFC_19_15_E05",0.0956521739130435,"F"
"AFC_19_15_E06",1,"M"
"AFC_19_15_E07",0.076271186440678,"F"
"AFC_19_15_E08",0.0666666666666667,"F"
"AFC_19_15_E09",0.192982456140351,"F"
"AFC_19_15_E10",1,"M"
"AFC_19_15_E11",1,"M"
"AFC_19_15_E12",1,"M"
"AFC_19_15_F01",0.0932203389830508,"F"
"AFC_19_15_F02",0.0991735537190083,"F"
"AFC_19_15_F03",0.05,"F"
"AFC_19_15_F04",0.092436974789916,"F"
"AFC_19_15_F05",0.0833333333333333,"F"
"AFC_19_15_F06",0.075,"F"
"AFC_19_15_F07",1,"M"
"AFC_19_15_F08",0.0847457627118644,"F"
"AFC_19_15_F09",0.0672268907563025,"F"
"AFC_19_15_F10",1,"M"
"AFC_19_15_F11",1,"M"
"AFC_19_15_F12",0.0423728813559322,"F"
"AFC_19_15_G01",0.075,"F"
"AFC_19_15_G02",1,"M"
"AFC_19_15_G03",0.0526315789473684,"F"
"AFC_19_15_G04",0.075,"F"
"AFC_19_15_G05",1,"M"
"AFC_19_15_G06",0.0840336134453782,"F"
"AFC_19_15_G07",0.108333333333333,"F"
"AFC_19_15_G08",0.076271186440678,"F"
"AFC_19_15_G09",1,"M"
"AFC_19_15_G10",1,"M"
"AFC_19_15_G11",1,"M"
"AFC_19_15_G12",1,"M"
"AFC_19_15_H01",1,"M"
"AFC_19_15_H02",0.0847457627118644,"F"
"AFC_19_15_H03",0.0769230769230769,"F"
"AFC_19_15_H04",1,"M"
"AFC_19_15_H05",0.0840336134453782,"F"
"AFC_19_15_H06",0.0909090909090909,"F"
"AFC_19_15_H07",1,"M"
"AFC_19_15_H08",0.0840336134453782,"F"
"AFC_19_15_H09",0.0756302521008403,"F"
"AFC_19_17_A09",0.0583333333333333,"F"
"AFC_19_17_A10",0.0593220338983051,"F"
"AFC_19_17_A11",0.991666666666667,"M"
"AFC_19_17_A12",0.0743801652892562,"F"
"AFC_19_17_B02",0.0338983050847458,"F"
"AFC_19_17_B03",1,"M"
"AFC_19_17_B04",0.0578512396694215,"F"
"AFC_19_17_B05",0.0341880341880342,"F"
"AFC_19_17_B06",1,"M"
"AFC_19_17_B07",0.0583333333333333,"F"
"AFC_19_17_B08",0.0769230769230769,"F"
"AFC_19_17_B09",0.0854700854700855,"F"
"AFC_19_17_B10",1,"M"
"AFC_19_17_B11",0.075,"F"
"AFC_19_17_B12",0.092436974789916,"F"
"AFC_19_17_C02",1,"M"
"AFC_19_17_C03",1,"M"
"AFC_19_17_C04",1,"M"
"AFC_19_17_C05",1,"M"
"AFC_19_17_C06",0.0854700854700855,"F"
"AFC_19_17_C07",1,"M"
"AFC_19_17_C08",0.0756302521008403,"F"
"AFC_19_17_C09",0.109243697478992,"F"
"AFC_19_17_C10",1,"M"
"AFC_19_17_C11",0.0769230769230769,"F"
"AFC_19_17_C12",0.0840336134453782,"F"
"AFC_19_17_D01",0.0672268907563025,"F"
"AFC_19_17_D02",0.0588235294117647,"F"
"AFC_19_17_D03",0.0916666666666667,"F"
"AFC_19_17_D04",0.991666666666667,"M"
"AFC_19_17_D05",1,"M"
"AFC_19_17_D06",1,"M"
"AFC_19_17_D07",0.0593220338983051,"F"
"AFC_19_17_D08",1,"M"
"AFC_19_17_D09",1,"M"
"AFC_19_17_D10",0.0756302521008403,"F"
