pop line plate Indiv CHROM_schf crossovers
AFC AFC_14 AFC_14_16 AFC_14_16_B02 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_B02 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_B02 XR 2
AFC AFC_14 AFC_14_16 AFC_14_16_B03 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_B03 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_B03 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_B03 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_B03 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_B04 2 0
AFC AFC_14 AFC_14_16 AFC_14_16_B04 3 2
AFC AFC_14 AFC_14_16 AFC_14_16_B04 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_B04 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_B04 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_B06 2 2
AFC AFC_14 AFC_14_16 AFC_14_16_B06 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_B06 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_B06 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_B06 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_B07 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_B07 3 1
AFC AFC_14 AFC_14_16 AFC_14_16_B07 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_B07 XL 0
