pop,line_id,type,unique_id,plate,row,col,orig,flip,clusters_with
MC,8,F,MC_F8_F1,P2,A,8,A08,A08,
AFC,30,F1,AFC-30-1-F1,P2,B,8,B08,B08,
FL,14,L,FL-L3,P2,C,8,C08,C08,
AFC,27,F1,AFC-27-3-F1,P2,D,8,D08,D08,
MC,9,L,MC_F1_L9-1,P2,E,8,E08,E08,
AFC,49,L,AFC-L49-3,P2,F,8,F08,F08,
MV,225,L,MV-L4,P2,G,8,G08,G08,
MC,6,L,MC-L6-2,P2,H,8,H08,H08,
MC,20,L,MC-L20-3,P2,A,9,A09,A09,
AFC,63,F1,AFC-63-1-F1,P2,B,9,B09,B09,
AFC,67,F1,AFC-67-2-F1,P2,C,9,C09,C09,
MC,2,F,MC_F2_F1,P2,D,9,D09,D09,
AFC,48,L,AFC_F1_L48-1,P2,E,9,E09,E09,
AFC,24,F1,AFC-24-4-F1,P2,F,9,F09,F09,
AFC,49,L,AFC-L49-2,P2,G,9,G09,G09,
AFC,54,F1,AFC-54-2-F1,P2,H,9,H09,H09,
AFC,71,F1,AFC-71-2-F1,P2,A,10,A10,A10,
MC,14,F,MC_F14_F1,P2,B,10,B10,B10,
AFC,28,F1,AFC-28-2-F1,P2,C,10,C10,C10,
AFC,30,F1,AFC-30-4-F1,P2,D,10,D10,D10,
AFC,47,L,AFC-L47-2,P2,E,10,E10,E10,
