id chr crossovers
AFC_24_15_A09 2 0
AFC_24_15_A10 2 1
AFC_24_15_A11 2 1
AFC_24_15_B01 2 2
AFC_24_15_B02 2 0
AFC_24_15_B04 2 1
AFC_24_15_B05 2 1
AFC_24_15_B06 2 1
AFC_24_15_B07 2 0
AFC_24_15_B08 2 1
AFC_24_15_B09 2 3
AFC_24_15_B10 2 0
AFC_24_15_C01 2 2
AFC_24_15_C02 2 1
AFC_24_15_C03 2 2
AFC_24_15_C04 2 1
AFC_24_15_C05 2 3
AFC_24_15_C06 2 2
AFC_24_15_C07 2 1
AFC_24_15_C08 2 5
AFC_24_15_C09 2 1
AFC_24_15_C10 2 2
AFC_24_15_C11 2 1
AFC_24_15_D01 2 2
AFC_24_15_D02 2 1
AFC_24_15_D03 2 1
AFC_24_15_D04 2 1
AFC_24_15_D05 2 0
AFC_24_15_D06 2 1
AFC_24_15_D07 2 2
AFC_24_15_D08 2 0
AFC_24_15_D09 2 1
AFC_24_15_D10 2 1
AFC_24_15_D11 2 1
AFC_24_15_E01 2 1
AFC_24_15_E02 2 2
AFC_24_15_E03 2 3
AFC_24_15_E04 2 1
AFC_24_15_E05 2 2
AFC_24_15_E06 2 1
AFC_24_15_E07 2 1
AFC_24_15_E08 2 1
AFC_24_15_E09 2 2
AFC_24_15_E10 2 1
AFC_24_15_E11 2 1
AFC_24_15_F01 2 1
AFC_24_15_F02 2 1
AFC_24_15_F03 2 2
AFC_24_15_F04 2 1
AFC_24_15_F05 2 2
AFC_24_15_F06 2 0
AFC_24_15_F07 2 2
AFC_24_15_F08 2 1
AFC_24_15_F09 2 1
AFC_24_15_F10 2 1
AFC_24_15_F11 2 0
AFC_24_15_G01 2 1
AFC_24_15_G02 2 0
AFC_24_15_G04 2 1
AFC_24_15_G05 2 0
AFC_24_15_G07 2 0
AFC_24_15_G09 2 1
AFC_24_15_G10 2 0
AFC_24_16_A02 2 1
AFC_24_16_A03 2 2
AFC_24_16_A04 2 1
AFC_24_16_A05 2 1
AFC_24_16_A06 2 3
AFC_24_16_A07 2 0
AFC_24_16_A08 2 1
AFC_24_16_A12 2 3
AFC_24_16_B01 2 0
AFC_24_16_B02 2 3
AFC_24_16_B03 2 2
AFC_24_16_B04 2 0
AFC_24_16_B05 2 1
AFC_24_16_B06 2 1
AFC_24_16_B07 2 1
AFC_24_16_B08 2 1
AFC_24_16_B09 2 2
AFC_24_16_B10 2 2
AFC_24_16_B12 2 1
AFC_24_16_C01 2 2
AFC_24_16_C02 2 1
AFC_24_16_C03 2 2
AFC_24_16_C04 2 1
AFC_24_16_C05 2 1
AFC_24_16_C06 2 0
AFC_24_16_C07 2 1
AFC_24_16_C08 2 1
AFC_24_16_C09 2 1
AFC_24_16_C10 2 2
AFC_24_16_C11 2 3
AFC_24_16_C12 2 1
AFC_24_16_D01 2 0
AFC_24_16_D03 2 0
AFC_24_16_D04 2 3
AFC_24_16_D05 2 2
AFC_24_16_D06 2 0
AFC_24_16_D07 2 1
AFC_24_16_D08 2 1
AFC_24_16_D09 2 1
AFC_24_16_D10 2 0
AFC_24_16_D11 2 2
AFC_24_16_D12 2 1
AFC_24_16_E01 2 0
AFC_24_16_E02 2 0
AFC_24_16_E03 2 2
AFC_24_16_E04 2 2
AFC_24_16_E05 2 2
AFC_24_16_E06 2 1
AFC_24_16_E07 2 0
AFC_24_16_E08 2 0
AFC_24_16_E09 2 0
AFC_24_16_E10 2 2
AFC_24_16_E11 2 1
AFC_24_16_E12 2 0
AFC_24_16_F01 2 2
AFC_24_16_F02 2 2
AFC_24_16_F04 2 2
AFC_24_16_F05 2 1
AFC_24_16_F07 2 0
AFC_24_16_F08 2 0
AFC_24_16_F09 2 0
AFC_24_16_F10 2 3
AFC_24_16_F11 2 2
AFC_24_16_F12 2 2
AFC_24_16_G01 2 0
AFC_24_16_G02 2 1
AFC_24_16_G03 2 1
